ip Source,ip Destination,Protocol,Epoch
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:21.940789000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.942673000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:21.942842000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.947748000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.950931000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.954604000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.959498000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:21.959680000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.961436000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:21.961614000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.967038000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:21.967494000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.971553000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.972055000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.979077000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.982410000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:21.982947000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.983443000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:21.983731000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.991292000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:21.991654000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.995498000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:21.995509000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.002822000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:22.003122000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.006442000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.006931000"
